,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
14,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,5/100,0.0047874140771078,0.0513849110942911,0,0,4.8645910551025455,25.98550161467944,EDN1;CXCL8;COL4A5;F3;ICAM1
15,KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,4/70,0.0071838388931529,0.072287378862351,0,0,5.583687340696686,27.56064169078836,CXCL8;CXCL1;CXCL3;CXCL2
16,KEGG_2021_Human,Influenza A,6/172,0.0115690900594589,0.1095660882101698,0,0,3.344396453739486,14.91406304061368,TPSB2;CXCL8;OAS3;TPSAB1;ICAM1;HLA-DQB1
17,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,6/193,0.0193688712443136,0.1732437927963606,0,0,2.96564423367975,11.69676206166436,TCF7L2;CXCL8;CXCL1;CXCL3;CXCL2;ICAM1
18,KEGG_2021_Human,Prostate cancer,4/97,0.0216611336799168,0.183549606445611,0,0,3.9571902321374735,15.164885675275729,TCF7L2;IL1R2;MMP9;ETV5
19,KEGG_2021_Human,Toll-like receptor signaling pathway,4/104,0.0271226871932145,0.2183376319053772,0,0,3.678878504672898,13.271130161600851,CXCL8;CCL4L2;CCL3L3;CCL3
20,KEGG_2021_Human,Acute myeloid leukemia,3/67,0.036763537074809,0.2818537842402031,0,0,4.298982558139535,14.20060882753236,TCF7L2;BCL2A1;DUSP6
21,KEGG_2021_Human,Pertussis,3/76,0.0502932262089207,0.3680549736198288,0,0,3.7672507167887863,11.263645952623303,CXCL6;CXCL8;SERPING1
22,KEGG_2021_Human,African trypanosomiasis,2/37,0.0613987323977738,0.4243738508101299,0,0,5.224074074074074,14.577079142874728,HPR;ICAM1
23,KEGG_2021_Human,Fluid shear stress and atherosclerosis,4/139,0.0658527147674138,0.4243738508101299,0,0,2.7202492211838005,7.399988145304903,EDN1;IL1R2;MMP9;ICAM1
24,KEGG_2021_Human,Complement and coagulation cascades,3/85,0.0658965606848027,0.4243738508101299,0,0,3.3522404991491777,9.116984662449289,SERPINA1;SERPING1;F3
25,KEGG_2021_Human,Bladder cancer,2/41,0.0735116805803316,0.443204524511401,0,0,4.687321937321937,12.235367853832944,CXCL8;MMP9
26,KEGG_2021_Human,Bile secretion,3/90,0.0754104986228868,0.443204524511401,0,0,3.1587810745789895,8.164845038709323,UGT2B11;AQP9;LDLR
27,KEGG_2021_Human,Cell adhesion molecules,4/148,0.0788598624729405,0.443204524511401,0,0,2.5490654205607477,6.474837471660397,ITGB8;ICAM1;CD276;HLA-DQB1
